case_id,justice_id,turn_position,justice_utterance,preceding_speaker,preceding_context,side_addressed,label
2019_19-46,j__clarence_thomas,15,"Yes, Ms. Ross. The -- a couple of questions. The -- could Booking acquire an 800 number, for ex -- that's a vanity number, 1-800-booking, for example, that is similar to, for -- 1-800-plumbing, which is a registered mark?",Erica L. Ross,-- that the decision --,0,1
2019_19-46,j__clarence_thomas,17,"Well, the -- that -- that -- that could be true, but the -- I'd like you to compare this to Goodyear. In Goodyear, you had a generic term, but you also had added a term such as company or inc., which any company could use. Now, with booking, here, there can only be one domain address .com. So this would seem to be more analogous to the 1-800 numbers, which are also individualized.",Erica L. Ross,"So, Justice Thomas, under the Federal Circuit's decisions, yes, it could. Those decisions, I think, may -- are -- are sort of debatable under Goodyear and the principles that we think control here, but the Federal Circuit -- the PTO, rather, does follow those decisions because of the right of direct appeal to the Federal Circuit from PTO decisions. Now I think it's significant that those are distinguishable in the sense that the core problem with Booking.com is that it allows Respondent to monopolize booking on the Internet because of the fact that longer domain names of Respondent's competitors, like ebooking.com and hotelbooking.com, can include Booking.com. That is not as obviously true of something like 1-800-booking.",0,1
2019_19-46,j__clarence_thomas,96,"Thank -- thank you, Chief. The -- just getting back to the Chief's question, Ms. Blatt, you -- you seem to rely almost exclusively on the primary significance test. Do you need that test in order to prevail here?",Lisa S. Blatt,"Yes. So let me get to the third reason, which I think is the legal reason in terms of why it doesn't crowd out. The more descriptive a mark is, the harder it is for that mark to show a likelihood of confusion, a requisite element in any infringement claim. And the ease with --",1,1
2019_19-46,j__clarence_thomas,98,Yeah.,Lisa S. Blatt,"No, because, regardless of what you think of our test, the government can't be right because three statutory provisions that don't mention primary significance test overrule, repudiate, abrogate, and completely eradicate any notion that you could have a per se rule that would ignore what consumers think, which is why the Court in Qualitex didn't need some primary significance test; it just said you look at -- you don't have the common law per se bar against trademarking colors; it's just a factual question about what consumers think. Do they find the mark useful? And so we -- we win under three provisions. I think the other problem, even putting aside those three provisions, Justice Thomas, is that there's a whole separate problem the government has, that there are two provisions that require courts to look to how consumers would view the mark as a whole and not its component parts. And so you can't just think because ""Wine Company"" -- ""wine"" is generic, ""company"" is generic, ""Wine Company"" is generic. And that's the same, you know, with the word ""container"" and the word ""store."" You put the two together. ""Booking"" or "".com,"" you put the two together and you have to -- you have to look at the way consumers would view that as a whole. That also abrogates a per se rule. So you don't even need to mention primary significance to know that the government is wrong. It just so happens that every court has always said the primary significance test governs.",1,1
2019_19-46,j__clarence_thomas,100,"So do you make a -- the government relies on Goodyear, and you say that, of course, there's been a sea change in trademark law since Goodyear, particularly with the Lanham Act. Would you just explain briefly how you think the Lanham Act has expanded the trademark law and what is protected and what is not protected?",Lisa S. Blatt,"The PTO's manual says it. It's the test that was applied in this case. And if I could turn to something that I think is pretty devastating for the government, is their appendix. Their appendix of rejected marks is not based on Goodyear. It's based on the primary significance test. Go look at the records in ad.com, bedandbreakfast.com, bookkeeping.com, limousine.com, newspaperarchive.com. There's no Goodyear. It's the primary significance that looks at extensive evidentiary record about how consumers would perceive the mark. Now our appendix is not -- it's the same. It's not based on mistakes. Weather.com, tickets.com, dating.com, wrestlingfigures.com, and another bed and breakfast mark, the PTO looked at extensive evidence. It wasn't some lazy PTO officer. It was someone looking at the primary significance test and saw, wow, I'm seeing that consumers really see weather.com as distinctive, it deserves registration. So the status quo is the primary significance test. And that's what has been -- you know, I think this also should give the Chief and Justice Thomas some comfort that most marks flunk the primary significance test, but some don't.",1,1
2019_18-9526,j__clarence_thomas,7,"Yes, counsel. In Solem and in Parker, those cases only involved the disposition of surplus land. And, here, of course, there's much, much more being done in a whole series of statutes involving both sovereignty and the allotment of land. Can you point to any case in which we've applied the Solem fact framework to a case that does as much as this -- as being -- as is being done in this case?",Ian H. Gershengorn,"So, Your Honor, I think both the precedent and the language support the idea that this is not a dependent Indian community. What this Court said in Venetie and what Judge -- then Judge Gorsuch said in Hydro Resources is that the dependent Indian community label is a catchall for tribes that did not have a reservation and are not on restricted lands. The best evidence of what Congress thought about whether Creek lands were a reservation under the statute is that Congress referred to those lands as a reservation under the statute. With respect to Sandoval and the other cases, it is crystal-clear that when Sandoval and those cases are using the term ""dependent Indian community"" that they are describing tribes and other groups that are within Congress's broad power to legislate for -- for tribes broadly. They are not excluding the -- the Creek. Indeed, and --",0,0
2019_18-9526,j__clarence_thomas,9,"I don't mean to interrupt you, but I do want to get this point in, that in -- in Parker, we were only dealing with one allotment statute that was disposing of surplus land. Here, we're dealing with a series of statutes that go both to land, the allotment of land, and to the reduction in the authority of the tribe. That's what I mean.",Ian H. Gershengorn,"So, Your Honor, I think the key point on -- the -- the -- the key point on the Parker/Solem analysis is, as your -- as Your Honor pointed out in that opinion, that those are not -- that that analysis doesn't derive from anything special about -- about how much work Congress is doing. The reason the Court has always required plain text is because treaty rights are at issue and plain text is required to abrogate treaty rights and because sovereign rights are at issue and plain text is required to abrogate sovereign rights. So there's nothing magic about Parker and Solem in terms of whether they're dealing with surplus lands or not. The key point in Parker and Solem is that plain text is required to do the kinds of transfers that are at issue here. And when you look at the plain text, I think this is a -- this case is even stronger than Your Honor's opinion in Parker for three main reasons. First, of course, is that the tribe was not absent from the land in the same way that the tribe was in Parker. Second, the land here was allotted in -- almost entirely to the tribe -- to tribal members themselves, to Indians. And, third, Congress took steps in 1906 to preserve the tribe. And I guess the thing I would point to, Your Honor, when you ask about whether there are cases like this, I think this is stronger than case -- other cases because the question isn't just what did Congress fail to do but how much --",0,0
2019_18-9526,j__clarence_thomas,71,"Yes, Mr. Kanji, a brief question, and this is just -- it's not necessarily dispositive of this case, but I'm interested in your answer. Do you think a tribe can be effectively divested of title to land, to its land and its sovereignty, and still retain the status of reservation?",Riyaz A. Kanji,"Well, under the Enabling Act, yes, the -- the transfer to the state was of cases that would arise under state law. What the federal courts retained were cases arising under federal law. And that, of course, included the Major Crimes Act and the -- and the General Crimes Act.",0,0
2019_18-9526,j__clarence_thomas,73,Thank you.,Riyaz A. Kanji,"It's a -- it's a critically interesting question, Your Honor. All -- all disestablishment cases involve a transformation of title. Whether we're talking about trust cases or fee pay cases, Congress was getting rid of communal proper -- title and transferring title to individuals. So the question this Court resolves in that regard is whether Congress also meant to go beyond that and alter reservation boundaries which were so there. And, here, where we simply are talking about the allotment and the opening up of small town sites to non-Indian settlers, that falls squarely into the rubric that this Court has designed where reservations have remained intact. With respect to sovereignty, if a sovereignty was to be completely divested -- and that's not what happened here -- but, if it was, I think the question this Court would ask is whether the federal government still meant to maintain the reservation for its own purposes. If it didn't, then the reservation would dissolve. Here, if the tribe had been dissolved, the treaties make very clear that the reservation itself would have evaporated, but -- but -- and -- and I understand this is not the premise of your question, that is not what took place here. The 1901 and 1906 acts clearly maintained a quantum of tribal governmental power.",0,0
2019_18-9526,j__clarence_thomas,120,"Yes. Counsel, the -- I'm very interested in your point that this -- we should characterize this as a dependent nation. First -- I'd like you, first, to say whether -- why you think that and why it matters. And -- and opposing counsel seems to think that it's irrelevant and, as he said, as I recall, that it's also wrong, your assessment of that. So it gives you an opportunity to both respond to that and to explain to us why it is important.",Mithun Mansinghani,"See, I think that definition would completely make 1151(b) surplusage. It would read it right out of the statute. What this Court said in Venetie is that tribes with land in fee are ""unalike Indians living on reservations,"" citing Sandoval, which compares the -- the -- the Pueblos, who had a dependent Indian community, as essentially the same as the Five Tribes. And in Creek Nation, this Court said that the Five Tribes had a fee simple, not the usual Indian right of occupancy, which is what is typical of reservations, and it was a dependent Indian community. And then Congress went out and codified Sandoval as a -- as a type of land status separate and apart from reservations, which is what this Court held in Venetie.",1,0
